"COMPETITOR NAMES, as at 11:00AM on Thursday 17th"
DAY 1: Saturday 19th September 2026
Race,Time,Event #,Event Type,Round,Division,Names
23 (_),10:50,28,Mx D-F 4X-,division,1,"Donna Southwick, Helen Garland, Shaun Stuart-Jones, Sylvain Livernois, Sharon Bray, Jerome Feuillade, Michelle Reaks, Richie McFelin, Heidi Oliver, Michelle de Jong, Guy Aitchison, Greg Vanderpeet, Tina Gunn, Marleen Cleyndert, Mladen Macanovic, Andrew Webster, Faith McGregor, Desmond Healy, Jane McGimpsey, Colin Wright, Trish Rice, Liz Jarmey, Chas Todhunter, Andreas Giannakogiorgos, Jill Edwards, Jon Sadler, Richard Rennie, Debbie Rowe"
24 (_),10:55,28,Mx D-F 4X-,division,2,"Raima Turner-Abrahams, Vanessa Mace, David Harris, Phillip Lee, Kevin O'Hagan, Louise O'Hagan, Helen Moore, Andrew Wakelin, Debbie Sunnex, Lynaree Burns, Mark Swinburne, Robert Buddo, Menno van der Laan, John Hitchcock, Felicity Newport, Lucy Catherine Mitchell, Lynda Jelbert, Derek Wanders, Myles Johnson, Deidre Sheppard, Bryan Beardshaw, Robert Young, Andrea Chadfield, Tamara Tesolin"
25 (_),11:00,28,Mx D-F 4X-,division,3,"Kelly Lavalley, Julie Glen, Josh Kempthorne, Steve Glen, Sophia Bidwell, Niklas Reisser, Mulle Arndt, Catherine Kappelle, Kris Jochimsen, Evan Brown, Attila Karpati, Raechel Cummins, Claudia Hellberg, Karen Lawry, David McCallum, Steve Barns, Miles McBain, Alice Beban-France, Benita Douglas, Gerry Steenkamer, Peter Fraser, Ger Sheehan, Tanya McDermott, Belle Woods"
26 (_),11:05,29,W A-C 8+,final,A,"Hikaru Toyama, Adrienne Edwards, Kathryn Sigley, Sarah Middleditch, Nicki McGuigan, Melissa Bray, Jane Higgins, Ella Keys, Paul Middleditch, Constanze Duell, Caroline Robertson, Jane Dee, Emilee Butler, Natasha Baldwin, Lisa Hale, Lena Cassidy-Clark, Amanda Johnstone, Grace Iremonger, Maria Seymour, Deborah Sorensen, Jacinda Allwood, Claire Venn, Jolanda Meijer, Eleanor Chichester, Elizabeth Cossar, Ange Rogers, Isaac Jelbert"
27 (_),11:40,34,W Mst D 2X,heat,1,"Susan Sawbridge, Helen Twose, Benita Douglas, Alice Beban-France, Michelle Reaks, Sharon Bray, Kris Jochimsen, Andrea Chadfield, Ange Rogers, Vivienne Ivory, Julie Samuelson, Jennifer Nolan"
28 (_),11:45,34,W Mst D 2X,heat,2,"Loren Cameron, Tracey McMillan, Karen Lawry, Jacqui Beilby, Lisa Hale, Debbie Rowe, Gabrielle Gatt, Jo Mackay, Elizabeth Cossar, Claire Venn, Anthea van Greuning, Inge Morton, Jan Goddard, Stacey Bax"
29 (_),11:50,33,M G-M 4-,final,A,"Graham Watt, Tim Russell, Alan Cleaver, Gordon Williams, Murray Stewart, Richard Brock, Desmond Healy, Bruce Tate"
29 (_),11:50,35,W G-M 4-,final,A,"Yvonne Kasper, Trish Fenton, Liz MacFarlan, Carolyn Harrison, Judy Shadbolt, Tina Gunn, Sue Wright, Marleen Cleyndert"
30 (_),12:00,36,W Mst E 2-,final,A,"Aly Miehlbradt, Sharon Ducker, Adrienne Edwards, Jane Higgins"
30 (_),12:00,37,W Mst F 1X,final,A,"Donna Southwick"
31 (_),12:05,38,Mx A-C 4X-,division,1,"Maryam Naminimianji, Dave Derecourt, Terri-Ann Fetting, Callum Windley, Constanze Duell, Nicholas Dawe, Jill Edwards, Jason O'Callaghan, Belle Woods, Tanya McDermott, Scott Alderson, Nathan Jones, Stacey Wyatt, Josh Adam, Adam Howie, Jaedyn Thompson, Eve Mulder, Alice Kalmancsi, Scott Griffin, Daniel Norman"
32 (_),12:10,38,Mx A-C 4X-,division,2,"Eleanor Chichester, Myles Johnson, Michael Instone, Jacinda Allwood, Amandine Frezouls, Amanda Richards, Scott Inglis, Valentin Frezouls, Kathryn Sigley, Simon Carey, Steve Glen, Nicki McGuigan, Kelly Lavalley, Niklas Reisser, Mulle Arndt, Carmen Lammerding, Andrew Wakelin, Lauren Elizabeth, Alex Hunter, Stewart Widger, Peter Fraser, Rachel Lockwood, Ashlea Quirk, Ger Sheehan, Hikaru Toyama, Paul Middleditch, Paul Johnston, Ella Keys, Rory Whitfield, Menno van der Laan, Anna Quartero, Danni Blizzard"
33 (_),12:20,39,M D-F 8+,final,A,"Hugh Ritchie, Guy Aitchison, Thomas Taylor, Robert Buddo, Miles McBain, Mark Swinburne, Greg Vanderpeet, Gerry Steenkamer, Jacqueline Griffin, Kerry Dombroski, Desmond Healy, Alan Cleaver, Murray Stewart, Dave Hanley, Andrew Bealing, Kevin Horan, Bruce Tate, Sue O'Leary"
35 (_),13:00,44,W Mst B 1X,final,A,"Eleanor Chichester, Nicola Goss, Constanze Duell"
36 (_),13:05,45,W Mst A 2X,final,A,"Stacey Wyatt, Jaedyn Thompson, Hikaru Toyama, Ella Keys, Sarah Brennan, Chloe Readman-Bell, Natasha Baldwin, Emilee Butler, Carmen Lammerding, Karen Verwey"
37 (_),13:10,46,W Mst C 1X,final,A,"Gabrielle Gatt, Kris Jochimsen, Stacey Bax, Caroline Robertson"
38 (_),13:15,47I,Mst 2X,final,A,"Ashlea Quirk, Naomi Carter, Susan Sawbridge, Ian Winson, Pita Shelford, Neville Robertson"
39 (_),13:20,48,M Mst C 4X-,final,A,"Nick Hanna, Luke Edhouse, Nicholas Dawe, Jason O'Callaghan, James Brake, Michael Brake, Cameron Elliott, Chris Brake, Peter Fraser, Ger Sheehan, Scott Alderson, Nathan Jones, Tim Russell, Josh Adam, Adam Howie, Hamish Peters"
40 (_),13:25,49,M Mst B 1X,final,A,"Niklas Reisser, Stewart Widger, Wing Kam"
41 (_),13:30,50,Mx MNw 2X,division,1,"Sarah Sinclair, Nathan Reeve, Jacqueline Griffin, Wayne Bickers, Michelle Reaks, Parkwai Mak, Matt Bailey, Elly Arnst, Vanessa Mace, David Speed, Rose Sharp, Simon Harper"
42 (_),13:35,50,Mx MNw 2X,division,2,"Amanda Taylor, Glen Strachan, Sophia Bidwell, Mulle Arndt, Riaan van Greuning, Anthea van Greuning, Karen Billinghurst, Garritt van Dyk, Julie Glen, Josh Kempthorne, Faith McGregor, Wade Vivian"
43 (_),13:40,50,Mx MNw 2X,division,3,"Paul Isitt, Trish Rice, Andrew Webster, Rose Lampen-Smith, Mandy Good, Evans Chogumaira, Emma Lowe, Thomas Taylor, Raewynn White, Hugh Ritchie"
44 (_),13:45,51,Mx MNv 2X,final,A,"Danielle Davies, Wiebe Baron, Felicity Newport, Menno van der Laan, Lisa Somerset, Quentin de Groot, Bradley Taylor, Kimberley Jenkinson"
45 (_),13:50,52,Mx G-M 4X-,final,A,"Liz MacFarlan, Mike Harrison, John de Pont, Alison McLeod, Sharon Ducker, Richie McFelin, Alan Cleaver, Trudy Moulden, Yvonne Kasper, Tony Corkery, Carolyn Harrison, Chris Fotherby"
