"COMPETITOR NAMES, as at 6:21AM on Thursday 24th"
DAY 1: Saturday 19th September 2026
Race,Time,Event #,Event Type,Round,Division,Names
24 (X),10:55,28,Mx D-F 4X-,division,2,"Heidi Oliver, Michelle de Jong, Guy Aitchison, Greg Vanderpeet, Raima Turner-Abrahams, Vanessa Mace, David Harris, Phillip Lee, Kevin O'Hagan, Louise O'Hagan, Helen Moore, Andrew Wakelin, Debbie Sunnex, Lynaree Burns, Mark Swinburne, Robert Buddo, Menno van der Laan, John Hitchcock, Felicity Newport, Lucy Catherine Mitchell, Lynda Jelbert, Derek Wanders, Myles Johnson, Deidre Sheppard, Bryan Beardshaw, Robert Young, Andrea Chadfield, Tamara Tesolin"
25 (Y),11:00,28,Mx D-F 4X-,division,3,"Kelly Lavalley, Julie Glen, Josh Kempthorne, Steve Glen, Sophia Bidwell, Niklas Reisser, Mulle Arndt, Catherine Kappelle, Kris Jochimsen, Evan Brown, Attila Karpati, Raechel Cummins, Claudia Hellberg, Karen Lawry, David McCallum, Steve Barns, Miles McBain, Alice Beban-France, Benita Douglas, Gerry Steenkamer, Peter Fraser, Ger Sheehan, Tanya McDermott, Belle Woods"
26 (Z),11:05,29,W A-C 8+,final,A,"Hikaru Toyama, Adrienne Edwards, Kathryn Sigley, Sarah Middleditch, Nicki McGuigan, Melissa Bray, Jane Higgins, Ella Keys, Amandine Frezouls, Constanze Duell, Caroline Robertson, Jane Dee, Emilee Butler, Natasha Baldwin, Lisa Hale, Lena Cassidy-Clark, Amanda Johnstone, Grace Iremonger, Maria Seymour, Deborah Sorensen, Jacinda Allwood, Claire Venn, Jolanda Meijer, Eleanor Chichester, Elizabeth Cossar, Ange Rogers, Isaac Jelbert"
27 (A),11:40,34,W Mst D 2X,heat,1,"Susan Sawbridge, Helen Twose, Benita Douglas, Alice Beban-France, Michelle Reaks, Sharon Bray, Kris Jochimsen, Raechel Cummins, Ange Rogers, Vivienne Ivory, Julie Samuelson, Jennifer Nolan"
28 (B),11:45,34,W Mst D 2X,heat,2,"Loren Cameron, Tracey McMillan, Karen Lawry, Jacqui Beilby, Lisa Hale, Debbie Rowe, Gabrielle Gatt, Jo Mackay, Elizabeth Cossar, Claire Venn, Anthea van Greuning, Inge Morton, Jan Goddard, Stacey Bax"
29 (C),11:50,33,M G-M 4-,final,A,"Graham Watt, Tim Russell, Alan Cleaver, Gordon Williams, Murray Stewart, Richard Brock, Desmond Healy, Bruce Tate"
29 (C),11:50,35,W G-M 4-,final,A,"Yvonne Kasper, Trish Fenton, Liz MacFarlan, Carolyn Harrison, Judy Shadbolt, Tina Gunn, Sue Wright, Marleen Cleyndert"
30 (D),12:00,36,W Mst E 2-,final,A,"Aly Miehlbradt, Sharon Ducker, Adrienne Edwards, Jane Higgins"
30 (D),12:00,37,W Mst F 1X,final,A,"Donna Southwick"
31 (E),12:05,38,Mx A-C 4X-,division,1,"Maryam Naminimianji, Dave Derecourt, Terri-Ann Fetting, Callum Windley, Constanze Duell, Nicholas Dawe, Jill Edwards, Jason O'Callaghan, Belle Woods, Tanya McDermott, Scott Alderson, Nathan Jones, Stacey Wyatt, Josh Adam, Adam Howie, Jaedyn Thompson, Eve Mulder, Alice Kalmancsi, Scott Griffin, Daniel Norman"
